region,date,new_cases,rolling_average_new_cases_centered
Midwest,2020-01-27,0.0,0.1428571428571428
Midwest,2020-01-29,0.0,0.1428571428571428
Midwest,2020-02-04,0.0,0.1428571428571428
Midwest,2020-02-06,0.0,0.1428571428571428
Midwest,2020-02-26,0.0,0.0
Midwest,2020-02-27,0.0,0.1428571428571428
Midwest,2020-03-22,957.0,988.4285714285714
Midwest,2020-03-29,2893.0,2900.285714285714
Midwest,2020-03-31,3414.0,3441.285714285714
Midwest,2020-04-01,4103.0,3710.285714285714
Midwest,2020-04-03,4682.0,4019.571428571429
Midwest,2020-04-08,4605.0,6968.714285714286
Midwest,2020-04-09,4094.0,6763.142857142857
Midwest,2020-04-10,4320.0,6513.857142857143
Midwest,2020-04-12,2182.0,5990.0
Midwest,2020-04-18,3412.0,3378.0
Midwest,2020-04-27,5303.0,6029.571428571428
Midwest,2020-04-28,6230.0,6376.428571428572
Midwest,2020-05-09,6299.0,6395.714285714285
Midwest,2020-05-11,4764.0,6212.0
Midwest,2020-05-14,7751.0,6020.0
Midwest,2020-05-23,6089.0,5743.857142857143
Midwest,2020-05-24,5574.0,5483.428571428572
Midwest,2020-06-01,3589.0,4386.571428571428
Midwest,2020-06-02,4140.0,4901.285714285714
Midwest,2020-06-03,3925.0,4855.714285714285
Midwest,2020-06-10,3396.0,3345.5714285714284
Midwest,2020-06-14,2666.0,3275.428571428572
Midwest,2020-06-22,3527.0,3883.0
Midwest,2020-06-25,4953.0,4345.285714285715
Midwest,2020-06-28,4107.0,4919.285714285715
Midwest,2020-07-11,7871.0,7294.571428571428
Midwest,2020-07-13,7751.0,7596.142857142857
Midwest,2020-07-14,6520.0,7700.0
Midwest,2020-07-20,8090.0,8070.857142857143
Midwest,2020-07-28,7174.0,8397.857142857143
Midwest,2020-07-31,10521.0,8172.0
Midwest,2020-08-05,8892.0,8337.285714285714
Midwest,2020-08-08,8401.0,8344.285714285714
Midwest,2020-08-16,6463.0,8427.0
Midwest,2020-08-18,7272.0,8244.57142857143
Midwest,2020-08-23,6748.0,9500.285714285714
Midwest,2020-08-25,8083.0,10313.0
Midwest,2020-08-29,8851.0,10568.714285714286
Midwest,2020-09-03,10592.0,10401.857142857143
Midwest,2020-09-07,8340.0,9805.42857142857
Midwest,2020-09-08,7944.0,9337.714285714286
Midwest,2020-09-12,9421.0,10036.285714285714
Midwest,2020-09-17,12337.0,10947.714285714286
Midwest,2020-09-18,13846.0,11128.714285714286
Midwest,2020-09-20,7881.0,11393.142857142857
Midwest,2020-09-24,13202.0,12259.57142857143
Midwest,2020-09-25,15880.0,12453.142857142857
Midwest,2020-10-11,13763.0,17403.0
Midwest,2020-10-21,21073.0,22635.14285714286
Midwest,2020-10-23,27159.0,24124.42857142857
Midwest,2020-10-24,24443.0,24864.42857142857
Midwest,2020-10-27,24609.0,29665.571428571428
Midwest,2020-10-31,32709.0,35139.0
Midwest,2020-11-01,26467.0,36654.57142857143
Midwest,2020-11-03,33160.0,42482.857142857145
Midwest,2020-11-05,59477.0,45377.28571428571
Midwest,2020-11-11,69601.0,63083.142857142855
Midwest,2020-11-13,72646.0,64338.57142857143
Midwest,2020-11-14,67935.0,63138.57142857143
Midwest,2020-11-18,49191.0,61345.857142857145
Midwest,2020-11-20,62541.0,60167.0
Midwest,2020-11-23,69825.0,58361.0
Midwest,2020-11-25,61020.0,55328.57142857143
Midwest,2020-11-26,32954.0,53377.28571428572
Midwest,2020-11-27,60848.0,51203.57142857143
Midwest,2020-12-07,58160.0,53971.0
Midwest,2020-12-13,33281.0,44536.42857142857
Midwest,2020-12-16,41325.0,41118.142857142855
Midwest,2020-12-19,33747.0,37903.71428571428
Midwest,2020-12-22,32157.0,29849.14285714285
Midwest,2020-12-27,18856.0,31339.85714285714
Midwest,2021-01-07,45554.0,38761.42857142857
Midwest,2021-01-10,23570.0,35403.0
Midwest,2021-01-13,32396.0,31087.285714285717
Midwest,2021-01-14,36150.0,30348.714285714286
Midwest,2021-01-15,34359.0,28476.42857142857
Midwest,2021-01-18,23325.0,25807.0
Midwest,2021-01-20,32325.0,24566.571428571428
Midwest,2021-01-25,21047.0,21403.42857142857
Midwest,2021-02-08,11538.0,13283.857142857143
Midwest,2021-02-11,13476.0,12044.0
Midwest,2021-02-18,10252.0,9669.0
Midwest,2021-02-19,12632.0,9611.285714285714
Midwest,2021-02-20,9758.0,9762.0
Midwest,2021-02-21,6470.0,9893.42857142857
Midwest,2021-02-23,9939.0,9724.0
Midwest,2021-02-27,8624.0,9063.0
Midwest,2021-03-05,9351.0,8835.714285714286
Midwest,2021-03-06,9123.0,9182.857142857143
Midwest,2021-03-15,10482.0,9800.571428571428
Midwest,2021-03-19,13396.0,10727.42857142857
Midwest,2021-03-20,11355.0,11002.571428571428
Midwest,2021-03-29,15959.0,15840.428571428572
Midwest,2021-04-04,4617.0,17732.714285714286
Midwest,2021-04-05,21142.0,18095.714285714286
Midwest,2021-04-11,9273.0,19553.571428571428
Midwest,2021-04-16,22580.0,18420.285714285717
Midwest,2021-04-18,8228.0,16944.714285714286
Midwest,2021-04-27,13136.0,13358.142857142857
Midwest,2021-04-30,12962.0,12969.57142857143
Midwest,2021-05-10,8681.0,9091.42857142857
Midwest,2021-05-11,8546.0,8508.714285714286
Midwest,2021-05-18,6480.0,6665.714285714285
Midwest,2021-05-19,7980.0,6431.571428571428
Midwest,2021-05-21,6830.0,5967.0
